Marca temporal,¿En qué rango de edad te encuentras?,¿Cuál es tu género?,¿Cuál es tu ocupación actual?,¿Cuál es tu estado civil?,¿Estas actualmente realizando práctica profesional?,¿En qué jornada matriculas tus clases regularmente?,¿En qué año académico se encuentra actualmente?,"¿Ha experimentado durante su vida estudiantil el trastorno de ansiedad (miedo, nervios o estrés)?","Basándose en un periodo académico normal en la UNAH, ¿En qué momento experimenta el mayor foco de trastorno de ansiedad?",Tener varias evaluaciones en una misma semana.,Atender muchas tareas simultaneas.,Realizar exposiciones o conferencias frente a muchas personas.,Participar en clase frente a los demás compañeros.,Desarrollar su jornada académica en ambientes físicos desagradables.,Tener un tiempo limitado y corto para realizar sus tareas.,Los trabajos grupales.,¿De qué forma considera que influye el trastorno de ansiedad en su promedio de calificaciones?,Cansancio/fatiga difusa.,Dificultad para dormir o sueño irregular.,Sensación de no haber sido tomado en consideración.,Irritabilidad excesiva.,Escasa confianza en usted mismo.,Sensación de inutilidad.,Falta de entusiasmo.,Sensación de no tener control sobre la situación.,Preocupación excesiva.,Dificultad de concentración.,Olvidos frecuentes.,El querer aislarse de los demás.,Escaso desempeño en ejecutar sus propias obligaciones.,Dificultad para aceptar responsabilidades.,Dificultad para mantener responsabilidades contraídas.,Cancelar/abandonar asignaturas matriculadas.
2020/04/12 8:19:17 p.m. GMT-5,19 - 22 años,Mujer,Estudio,Soltero,No,Mixta Vespertina - Nocturna,5to año,Sí,Al final de cada parcial,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Muy en desacuerdo,En desacuerdo,Muy de acuerdo,Disminuye,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,En desacuerdo
2020/04/12 9:25:55 p.m. GMT-5,27 - 30 años,Mujer,Estudio,Soltero,No,Matutina,4to año,Sí,Al iniciar el periodo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Disminuye,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
2020/04/12 9:36:34 p.m. GMT-5,menor de 18 años,Mujer,Estudio,Soltero,No,Mixta Matutina - Vespertina,1er año,Sí,En los examenes y proyectos finales,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,Se mantiene,Muy de acuerdo,Muy de acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Muy en desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Muy en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo
2020/04/12 9:37:09 p.m. GMT-5,27 - 30 años,Hombre,Estudio,Soltero,No,Mixta Matutina - Vespertina,ultimo año,Sí,En los examenes y proyectos finales,Muy en desacuerdo,Muy en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Muy en desacuerdo,De acuerdo,En desacuerdo,Disminuye,De acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo
2020/04/12 9:54:26 p.m. GMT-5,19 - 22 años,Mujer,Estudio,Soltero,No,Matutina,2do año,Sí,Al final de cada parcial,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,Muy de acuerdo,En desacuerdo,En desacuerdo,Muy de acuerdo,Se mantiene,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Muy en desacuerdo
2020/04/12 9:55:07 p.m. GMT-5,23 - 26 años,Hombre,Estudio,Soltero,No,Mixta Matutina - Vespertina,4to año,Sí,En los examenes y proyectos finales,En desacuerdo,Muy en desacuerdo,En desacuerdo,De acuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy de acuerdo,Disminuye,Muy de acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo
2020/04/12 10:01:27 p.m. GMT-5,19 - 22 años,Mujer,Estudio,Soltero,No,Mixta Matutina - Vespertina,4to año,Sí,Al final de cada parcial,Ni de acuerdo ni en desacuerdo,En desacuerdo,De acuerdo,Muy de acuerdo,Muy en desacuerdo,En desacuerdo,De acuerdo,Disminuye,De acuerdo,Muy de acuerdo,En desacuerdo,De acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Muy de acuerdo,De acuerdo
2020/04/12 10:55:22 p.m. GMT-5,23 - 26 años,Hombre,Estudio,Soltero,No,Mixta Matutina - Vespertina,ultimo año,Sí,Al final de cada parcial,Muy de acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Disminuye,Muy de acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,Muy en desacuerdo
2020/04/12 11:04:19 p.m. GMT-5,23 - 26 años,Mujer,Ambas,Casado,No,Nocturna,ultimo año,Sí,En los examenes y proyectos finales,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Aumenta,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo
2020/04/12 11:23:50 p.m. GMT-5,23 - 26 años,Hombre,Ambas,Soltero,No,Mixta Vespertina - Nocturna,4to año,Sí,En los examenes y proyectos finales,En desacuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,Muy de acuerdo,Muy en desacuerdo,Muy en desacuerdo,De acuerdo,Se mantiene,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,En desacuerdo,De acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,Muy de acuerdo
2020/04/12 11:29:00 p.m. GMT-5,19 - 22 años,Mujer,Estudio,Soltero,No,Mixta Matutina - Vespertina,4to año,Sí,En los examenes y proyectos finales,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Disminuye,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo
2020/04/12 11:36:50 p.m. GMT-5,23 - 26 años,Mujer,Ambas,Soltero,No,Nocturna,ultimo año,Sí,En los examenes y proyectos finales,En desacuerdo,Muy en desacuerdo,Ni de acuerdo ni en desacuerdo,Muy en desacuerdo,Ni de acuerdo ni en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Disminuye,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Muy en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo
2020/04/12 11:50:58 p.m. GMT-5,23 - 26 años,Mujer,Ambas,Soltero,No,Nocturna,ultimo año,Sí,En los examenes y proyectos finales,En desacuerdo,Muy en desacuerdo,Ni de acuerdo ni en desacuerdo,Muy en desacuerdo,Ni de acuerdo ni en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Disminuye,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Muy en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo
2020/04/13 12:02:45 a.m. GMT-5,19 - 22 años,Hombre,Estudio,Soltero,No,Matutina,2do año,Sí,Al final de cada parcial,Muy de acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,Disminuye,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo
2020/04/13 12:29:55 a.m. GMT-5,23 - 26 años,Hombre,Estudio,Soltero,No,Mixta Vespertina - Nocturna,ultimo año,Sí,En los examenes y proyectos finales,De acuerdo,Muy de acuerdo,En desacuerdo,En desacuerdo,Muy de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Aumenta,De acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo
2020/04/13 9:32:45 a.m. GMT-5,27 - 30 años,Hombre,Trabajo,Soltero,No,Mixta Vespertina - Nocturna,ultimo año,Sí,En los examenes y proyectos finales,Muy de acuerdo,Muy de acuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy de acuerdo,Muy en desacuerdo,Se mantiene,Muy de acuerdo,Muy de acuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,De acuerdo,Muy en desacuerdo,De acuerdo,Muy en desacuerdo,De acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo
2020/04/13 9:58:27 a.m. GMT-5,19 - 22 años,Mujer,Estudio,Otro,No,Matutina,3er año,Sí,En los examenes y proyectos finales,Muy en desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,Muy en desacuerdo,En desacuerdo,Muy de acuerdo,Disminuye,Muy de acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo
2020/04/13 10:19:07 a.m. GMT-5,19 - 22 años,Mujer,Estudio,Soltero,No,Mixta Matutina - Vespertina,1er año,Sí,En los examenes y proyectos finales,De acuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,En desacuerdo,De acuerdo,Muy en desacuerdo,De acuerdo,Disminuye,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,En desacuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,Muy de acuerdo,En desacuerdo
2020/04/13 2:03:24 p.m. GMT-5,mayor de 30 años,Hombre,Trabajo,Casado,No,Mixta Vespertina - Nocturna,ultimo año,Sí,En los examenes y proyectos finales,De acuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,En desacuerdo,De acuerdo,Muy en desacuerdo,De acuerdo,Disminuye,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,En desacuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,Muy de acuerdo,En desacuerdo
2020/04/13 2:13:34 p.m. GMT-5,19 - 22 años,Mujer,Estudio,Soltero,No,Mixta Matutina - Vespertina,2do año,Sí,En los examenes y proyectos finales,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Disminuye,Muy de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
2020/04/13 3:46:54 p.m. GMT-5,23 - 26 años,Hombre,Estudio,Soltero,No,Mixta Vespertina - Nocturna,ultimo año,Sí,En los examenes y proyectos finales,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Disminuye,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
2020/04/13 3:57:33 p.m. GMT-5,23 - 26 años,Mujer,Estudio,Soltero,Sí,Mixta Matutina - Vespertina,ultimo año,Sí,En los examenes y proyectos finales,Muy de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Se mantiene,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo
2020/04/13 4:41:14 p.m. GMT-5,menor de 18 años,Hombre,Estudio,Soltero,No,Mixta Matutina - Vespertina,2do año,Sí,En los examenes y proyectos finales,Muy de acuerdo,Muy de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,Disminuye,De acuerdo,De acuerdo,En desacuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
2020/04/13 4:48:59 p.m. GMT-5,menor de 18 años,Hombre,Estudio,Otro,No,Matutina,2do año,Sí,En los examenes y proyectos finales,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,Disminuye,Muy de acuerdo,De acuerdo,Muy en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,Muy en desacuerdo
2020/04/13 4:54:58 p.m. GMT-5,23 - 26 años,Hombre,Estudio,Soltero,No,Vespertina,ultimo año,Sí,En los examenes y proyectos finales,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Muy de acuerdo,Muy en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Disminuye,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,Muy en desacuerdo
